Time	G1	G2	G3
0.0	0.0	0.35	1.65
1.0	0.3	0.34549820562535116	1.6518561276552153
2.0	0.3	0.32721179918189147	1.6516520424726364
3.0	0.3	0.308628656495248	1.6488010184566173
4.0	0.3	0.2909353948664908	1.6430299487008877
5.0	0.3	0.2744226291268648	1.6343766133830497
6.0	0.3	0.2591515609670863	1.6230766248538167
7.0	0.3	0.24510293944204284	1.6094715621965836
8.0	0.3	0.23222524887345533	1.5939465957264223
9.0	0.3	0.22045373718442332	1.5768913397522923
10.0	0.3	0.20971894429547244	1.5586768596030425
11.0	0.3	0.19995085274563124	1.5396432993595393
12.0	0.3	0.19108100279618945	1.52009424556412
13.0	0.3	0.1830435822515247	1.5002952142090118
14.0	0.3	0.1757759658806768	1.4804745630589395
15.0	0.3	0.1692189436252333	1.4608257582503288
16.0	0.3	0.16331677514768903	1.4415102766854462
17.0	0.3	0.15801715312300613	1.422660747913561
18.0	0.3	0.1532710901869464	1.4043841439924787
19.0	0.3	0.14903278487041785	1.3867648029743724
20.0	0.3	0.14525946979898233	1.3698672525974722
21.0	0.3	0.14191125389741227	1.3537387983681715
22.0	0.3	0.13895096668536683	1.3384118584718128
23.0	0.3	0.1363440048541632	1.3239060715256017
24.0	0.3	0.13405818655584625	1.310230171651503
25.0	0.3	0.13206361282528015	1.297383657659525
26.0	0.3	0.13033253686432392	1.2853582725546149
27.0	0.3	0.12883924152598758	1.2741393116279853
28.0	0.3	0.12755992367243943	1.2637067764621523
29.0	0.3	0.12647258560941577	1.254036390345346
30.0	0.3	0.12555693275476643	1.2451004897375042
31.0	0.3	0.12479427688270442	1.2368688048269685
32.0	0.3	0.12416744430523095	1.229309140863778
33.0	0.3	0.12366068840267277	1.2223879707087564
34.0	0.3	0.12325960598309672	1.2160709479128533
35.0	0.3	0.12295105950006621	1.2103233551738968
36.0	0.3	0.12272309201099832	1.2051104631332565
37.0	0.3	0.12256486106377149	1.2003978704493885
38.0	0.3	0.1224665639103802	1.19615176779495
39.0	0.3	0.12241936811565672	1.1923391622360193
40.0	0.3	0.12241534455773102	1.18892806082196
41.0	0.3	0.12244740280176226	1.185887617825551
42.0	0.3	0.12250922886381188	1.1831882496781807
43.0	0.3	0.12259522540607952	1.1808017212946211
44.0	0.3	0.12270045449467573	1.178701207668347
45.0	0.3	0.12282058271990248	1.176861332256413
46.0	0.3	0.12295182897803979	1.1752581862485394
47.0	0.3	0.12309091508278128	1.1738693321575684
48.0	0.3	0.1232350188792502	1.1726737920517591
49.0	0.3	0.12338173020657212	1.1716520243301363
